tour_id,tourname
1,Not Part of a Tour
2,Bingo Tour
3,Winter Tour 2020
4,Live From Out There
5,Fall Tour 2019
6,Fall Tour 2020
7,Summer Tour 2019
8,Goosemas VI
9,Goosemas V
10,Goosemas IV
11,Goosemas III
12,Goosemas II
13,Goosemas I
14,Spring Tour 2019
15,Winter Tour 2018
16,Winter Tour 2019
17,Spring Tour 2018
18,Colorado Tour 2018
19,Fall Tour 2018
20,Summer Tour 2018
21,Throw 'Em To The Wolves Tour 2017
22,Fall Tour 2017
24,Spring Tour 2017
26,Shenanigans Summer Tour 2021
27,Fall Tour 2021
28,Winter Tour 2022
29,Dripfield Summer Tour 2022
30,Dripfield Fall Tour 2022
31,TAB/Goose Fall 2022
32,Spring Tour 2023
33,Summer Tour 2023
34,Fall Tour 2023
35,Fall European Tour 2023
36,Summer Tour 2024
37,September Tour 2024
38,Fall Tour 2024
39,Winter Tour 2025
